Basin,Epoch,Sample ID,Sum C27:35 ODD,SUM C27:35,Total Hopanes,Sum Hopanes/Sum C27-C35alkanes
Bighorn Basin,Eocene,BHB-02-054,19.2,27.6,11.1,0.578125
Bighorn Basin,Eocene,BHB-02-055,211.9,285,20.6,0.097215668
Bighorn Basin,Eocene,BHB-07-001,50,72.6,18,0.36
Bighorn Basin,Eocene,BHB-07-002,31.4,41.2,8.3,0.26433121
Bighorn Basin,Eocene,BHB-07-005,10.8,14.5,2.6,0.240740741
Bighorn Basin,Eocene,BHB-07-006,45.9,55.1,6,0.130718954
Bighorn Basin,Eocene,BHB-02-038,134.2,162.4,15.3,0.114008942
Bighorn Basin,Eocene,BHB-02-039,128.8,152,29.2,0.226708075
Bighorn Basin,Eocene,BHB-02-040,199.2,235.4,2.9,0.014558233
Bighorn Basin,Eocene,BHB-02-041,208.4,255.5,10.6,0.050863724
Bighorn Basin,PETM,na,0,0,0,0
